"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","7","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","updateUserBalance","updateUserBalance()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","getBidderHighestBid","getBidderHighestBid()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","4","","com.swp391.koibe.services.otp.OtpServiceTest","","com.swp391.koibe.services.otp.OtpServiceTest","setOtpExpired","setOtpExpired()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","4","","com.swp391.koibe.services.auction.AuctionMailServiceTest","","com.swp391.koibe.services.auction.AuctionMailServiceTest","sendAuctionClosedEmailToAllUser","sendAuctionClosedEmailToAllUser()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","getAllUsers","getAllUsers()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","7","","com.swp391.koibe.services.token.TokenServiceTest","","com.swp391.koibe.services.token.TokenServiceTest","refreshToken","refreshToken()",""
"passed","Sun Oct 27 02:12:32 GMT 2024","Sun Oct 27 02:12:32 GMT 2024","4","","com.swp391.koibe.services.user.breeder.BreederServiceTest","","com.swp391.koibe.services.user.breeder.BreederServiceTest","updateBreeder","updateBreeder()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.token.TokenServiceTest","","com.swp391.koibe.services.token.TokenServiceTest","setTokenExpired","setTokenExpired()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","5","","com.swp391.koibe.services.user.UserServiceTest","","com.swp391.koibe.services.user.UserServiceTest","bannedUser","bannedUser()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","6","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","getAllKois","getAllKois()",""
"passed","Sun Oct 27 02:12:30 GMT 2024","Sun Oct 27 02:12:30 GMT 2024","4","","com.swp391.koibe.services.user.member.MemberServiceTest","","com.swp391.koibe.services.user.member.MemberServiceTest","deleteMember","deleteMember()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","7","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","updatePaymentStatus","updatePaymentStatus()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","16","","com.swp391.koibe.services.role.RoleServiceTest","","com.swp391.koibe.services.role.RoleServiceTest","testDeleteRole","testDeleteRole()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","updateAuctionKoiStatus","updateAuctionKoiStatus()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","5","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","createFixedPriceAuction","createFixedPriceAuction()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","updateOrderStatusAndShipDate","updateOrderStatusAndShipDate()",""
"passed","Sun Oct 27 02:12:26 GMT 2024","Sun Oct 27 02:12:26 GMT 2024","16","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","getOrdersByStatus","getOrdersByStatus()",""
"passed","Sun Oct 27 02:12:13 GMT 2024","Sun Oct 27 02:12:13 GMT 2024","6","","com.swp391.koibe.services.token.TokenServiceTest","","com.swp391.koibe.services.token.TokenServiceTest","findUserByToken","findUserByToken()",""
"passed","Sun Oct 27 02:12:35 GMT 2024","Sun Oct 27 02:12:35 GMT 2024","3","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","","com.swp391.koibe.services.auctionkoi.AuctionKoiServiceTest","getAuctionKoiResponeById","getAuctionKoiResponeById()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","createKoi","createKoi()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","7","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","handlePaymentReturn","handlePaymentReturn()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","5","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","createOrderPayment","createOrderPayment()",""
"passed","Sun Oct 27 02:12:27 GMT 2024","Sun Oct 27 02:12:27 GMT 2024","4","","com.swp391.koibe.services.order.OrderServiceTest","","com.swp391.koibe.services.order.OrderServiceTest","updateOrder","updateOrder()",""
"passed","Sun Oct 27 02:12:26 GMT 2024","Sun Oct 27 02:12:26 GMT 2024","8","","com.swp391.koibe.services.category.CategoryServiceTest","","com.swp391.koibe.services.category.CategoryServiceTest","update","update()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","41","","com.swp391.koibe.services.koi.KoiServiceTest","","com.swp391.koibe.services.koi.KoiServiceTest","updateKoi","updateKoi()",""
"passed","Sun Oct 27 02:12:23 GMT 2024","Sun Oct 27 02:12:23 GMT 2024","5","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","","com.swp391.koibe.services.biddinghistory.BiddingHistoryServiceTest","createBidHistories","createBidHistories()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","9","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","","com.swp391.koibe.services.orderdetail.OrderDetailServiceTest","deleteById","deleteById()",""
"passed","Sun Oct 27 02:12:19 GMT 2024","Sun Oct 27 02:12:19 GMT 2024","5","","com.swp391.koibe.services.payment.PaymentServiceTest","","com.swp391.koibe.services.payment.PaymentServiceTest","getPaymentsByKeywordAndStatus","getPaymentsByKeywordAndStatus()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","4","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByStatus","getAuctionByStatus()",""
"passed","Sun Oct 27 02:12:33 GMT 2024","Sun Oct 27 02:12:33 GMT 2024","3","","com.swp391.koibe.services.auction.AuctionServiceTest","","com.swp391.koibe.services.auction.AuctionServiceTest","getAuctionByAuctioneerId","getAuctionByAuctioneerId()",""
